exception_id,object_type,object_id,plant,exception_type,severity,risk_score,evidence,root_cause,recommended_action,owner,related_models,status
EXC0068,物料,M0035,华东工厂,PO_LATE,High,70,需求周=W5，PO ETA=W7，在途=8759,供应商确认交期晚于物料需求日期,采购确认提前交付/拆单；计划评估替代料或调整排产,采购,P001,待处理
EXC0070,物料,M0037,华南工厂,DEDICATED_EOL_EXCESS,High,70,专用料，关联机型=P008，库存+在途冗余=1294,EOM需求下降且专用料缺乏其他消耗路径,停止新增PR；评估取消/延后PO；推进ECN替代或售后消耗,MC/采购,P008,待处理
EXC0074,物料,M0038,华南工厂,PO_LATE,High,70,需求周=W8，PO ETA=W9，在途=5810,供应商确认交期晚于物料需求日期,采购确认提前交付/拆单；计划评估替代料或调整排产,采购,P004;P005;P006;P008,待处理
EXC0076,物料,M0040,华东工厂,PO_LATE,High,70,需求周=W3，PO ETA=W6，在途=1677,供应商确认交期晚于物料需求日期,采购确认提前交付/拆单；计划评估替代料或调整排产,采购,P001;P004,待处理
EXC0079,物料,M0040,华南工厂,PO_LATE,High,70,需求周=W3，PO ETA=W7，在途=27468,供应商确认交期晚于物料需求日期,采购确认提前交付/拆单；计划评估替代料或调整排产,采购,P001;P004,待处理
EXC0081,物料,M0041,华南工厂,DEDICATED_EOL_EXCESS,High,70,专用料，关联机型=P008，库存+在途冗余=2588,EOM需求下降且专用料缺乏其他消耗路径,停止新增PR；评估取消/延后PO；推进ECN替代或售后消耗,MC/采购,P008,待处理
EXC0082,物料,M0042,华南工厂,DEDICATED_EOL_EXCESS,High,70,专用料，关联机型=P008，库存+在途冗余=5176,EOM需求下降且专用料缺乏其他消耗路径,停止新增PR；评估取消/延后PO；推进ECN替代或售后消耗,MC/采购,P008,待处理
EXC0083,物料,M0043,华东工厂,PO_LATE,High,70,需求周=W4，PO ETA=W9，在途=7121,供应商确认交期晚于物料需求日期,采购确认提前交付/拆单；计划评估替代料或调整排产,采购,P001;P002,待处理
EXC0085,物料,M0045,华东工厂,DEDICATED_EOL_EXCESS,High,70,专用料，关联机型=P009，库存+在途冗余=5506,EOM需求下降且专用料缺乏其他消耗路径,停止新增PR；评估取消/延后PO；推进ECN替代或售后消耗,MC/采购,P009,待处理
EXC0086,物料,M0046,华东工厂,PO_LATE,High,70,需求周=W5，PO ETA=W8，在途=8215,供应商确认交期晚于物料需求日期,采购确认提前交付/拆单；计划评估替代料或调整排产,采购,P007;P009;P011,待处理
EXC0090,物料,M0049,华东工厂,DEDICATED_EOL_EXCESS,High,70,专用料，关联机型=P009，库存+在途冗余=22028,EOM需求下降且专用料缺乏其他消耗路径,停止新增PR；评估取消/延后PO；推进ECN替代或售后消耗,MC/采购,P009,待处理
EXC0091,物料,M0050,华东工厂,DEDICATED_EOL_EXCESS,High,70,专用料，关联机型=P009，库存+在途冗余=22028,EOM需求下降且专用料缺乏其他消耗路径,停止新增PR；评估取消/延后PO；推进ECN替代或售后消耗,MC/采购,P009,待处理
EXC0092,物料,M0051,华东工厂,PO_LATE,High,70,需求周=W4，PO ETA=W8，在途=410,供应商确认交期晚于物料需求日期,采购确认提前交付/拆单；计划评估替代料或调整排产,采购,P003,待处理
EXC0094,物料,M0053,华南工厂,PO_LATE,High,70,需求周=W3，PO ETA=W4，在途=9531,供应商确认交期晚于物料需求日期,采购确认提前交付/拆单；计划评估替代料或调整排产,采购,P010,待处理
EXC0097,物料,M0054,华南工厂,PR_NOT_CONVERTED,High,70,缺口=7246，PR数量=7500，LT=60天,净需求已形成但PR尚未转PO,采购立即确认供应商、价格及交期并完成PR转PO,采购,P010,待处理
EXC0098,物料,M0056,华东工厂,PO_LATE,High,70,需求周=W2，PO ETA=W9，在途=5817,供应商确认交期晚于物料需求日期,采购确认提前交付/拆单；计划评估替代料或调整排产,采购,P003,待处理
EXC0100,物料,M0060,华南工厂,PO_LATE,High,70,需求周=W6，PO ETA=W8，在途=19780,供应商确认交期晚于物料需求日期,采购确认提前交付/拆单；计划评估替代料或调整排产,采购,P004,待处理
EXC0101,物料,M0063,华南工厂,PO_LATE,High,70,需求周=W5，PO ETA=W9，在途=11450,供应商确认交期晚于物料需求日期,采购确认提前交付/拆单；计划评估替代料或调整排产,采购,P004;P010,待处理
EXC0104,物料,M0067,华东工厂,PO_LATE,High,70,需求周=W6，PO ETA=W8，在途=690,供应商确认交期晚于物料需求日期,采购确认提前交付/拆单；计划评估替代料或调整排产,采购,P005,待处理
EXC0105,物料,M0068,华东工厂,PO_LATE,High,70,需求周=W6，PO ETA=W9，在途=1786,供应商确认交期晚于物料需求日期,采购确认提前交付/拆单；计划评估替代料或调整排产,采购,P005,待处理
EXC0106,物料,M0070,华东工厂,PO_LATE,High,70,需求周=W6，PO ETA=W10，在途=1822,供应商确认交期晚于物料需求日期,采购确认提前交付/拆单；计划评估替代料或调整排产,采购,P003;P012,待处理
EXC0049,物料,M0023,华东工厂,COMMON_PART_COMPETITION,High,65,共用于3个机型，8周缺口=7112,多个机型竞争同一共用料供给,按生命周期与客户优先级分配ATP；同步评估增量采购,主计划/MC,P004;P005;P006,待处理
EXC0054,物料,M0026,华南工厂,COMMON_PART_COMPETITION,High,65,共用于3个机型，8周缺口=8269,多个机型竞争同一共用料供给,按生命周期与客户优先级分配ATP；同步评估增量采购,主计划/MC,P004;P006;P008,待处理
EXC0067,物料,M0033,华南工厂,COMMON_PART_COMPETITION,High,65,共用于3个机型，8周缺口=9439,多个机型竞争同一共用料供给,按生命周期与客户优先级分配ATP；同步评估增量采购,主计划/MC,P007;P008;P009,待处理
EXC0087,物料,M0046,华东工厂,COMMON_PART_COMPETITION,High,65,共用于3个机型，8周缺口=44885,多个机型竞争同一共用料供给,按生命周期与客户优先级分配ATP；同步评估增量采购,主计划/MC,P007;P009;P011,待处理
EXC0113,物料,M0007,华东工厂,TRANSFER_OPPORTUNITY,High,65,华东工厂缺口=50865，华南工厂可调拨=13650,跨工厂库存分布不均,从华南工厂向华东工厂调拨13650件，并冻结对应新增采购,主计划/物流,P003;P006;P007;P008;P009;P012,待处理
EXC0114,物料,M0010,华东工厂,TRANSFER_OPPORTUNITY,High,65,华东工厂缺口=9650，华南工厂可调拨=51274,跨工厂库存分布不均,从华南工厂向华东工厂调拨9650件，并冻结对应新增采购,主计划/物流,P003;P006;P009;P010;P011;P012,待处理
EXC0115,物料,M0011,华东工厂,TRANSFER_OPPORTUNITY,High,65,华东工厂缺口=7721，华南工厂可调拨=81103,跨工厂库存分布不均,从华南工厂向华东工厂调拨7721件，并冻结对应新增采购,主计划/物流,P003;P006;P009;P010;P011;P012,待处理
EXC0116,物料,M0013,华东工厂,TRANSFER_OPPORTUNITY,High,65,华东工厂缺口=888，华南工厂可调拨=16699,跨工厂库存分布不均,从华南工厂向华东工厂调拨888件，并冻结对应新增采购,主计划/物流,P001;P004;P007;P010,待处理
EXC0117,物料,M0014,华东工厂,TRANSFER_OPPORTUNITY,High,65,华东工厂缺口=5581，华南工厂可调拨=7166,跨工厂库存分布不均,从华南工厂向华东工厂调拨5581件，并冻结对应新增采购,主计划/物流,P001;P004;P007;P010,待处理
EXC0119,物料,M0020,华东工厂,TRANSFER_OPPORTUNITY,High,65,华东工厂缺口=2480，华南工厂可调拨=15369,跨工厂库存分布不均,从华南工厂向华东工厂调拨2480件，并冻结对应新增采购,主计划/物流,P001;P002;P003;P012,待处理
EXC0120,物料,M0023,华东工厂,TRANSFER_OPPORTUNITY,High,65,华东工厂缺口=7112，华南工厂可调拨=17763,跨工厂库存分布不均,从华南工厂向华东工厂调拨7112件，并冻结对应新增采购,主计划/物流,P004;P005;P006,待处理
EXC0121,物料,M0024,华东工厂,TRANSFER_OPPORTUNITY,High,65,华东工厂缺口=30469，华南工厂可调拨=52834,跨工厂库存分布不均,从华南工厂向华东工厂调拨30469件，并冻结对应新增采购,主计划/物流,P004;P005;P006;P012,待处理
EXC0122,物料,M0030,华东工厂,TRANSFER_OPPORTUNITY,High,65,华东工厂缺口=19859，华南工厂可调拨=2406,跨工厂库存分布不均,从华南工厂向华东工厂调拨2406件，并冻结对应新增采购,主计划/物流,P001;P002;P003;P007,待处理
EXC0123,物料,M0033,华南工厂,TRANSFER_OPPORTUNITY,High,65,华南工厂缺口=9439，华东工厂可调拨=111737,跨工厂库存分布不均,从华东工厂向华南工厂调拨9439件，并冻结对应新增采购,主计划/物流,P007;P008;P009,待处理
EXC0125,物料,M0043,华东工厂,TRANSFER_OPPORTUNITY,High,65,华东工厂缺口=2316，华南工厂可调拨=6783,跨工厂库存分布不均,从华南工厂向华东工厂调拨2316件，并冻结对应新增采购,主计划/物流,P001;P002,待处理
EXC0126,物料,M0058,华南工厂,TRANSFER_OPPORTUNITY,High,65,华南工厂缺口=6905，华东工厂可调拨=473,跨工厂库存分布不均,从华东工厂向华南工厂调拨473件，并冻结对应新增采购,主计划/物流,P009;P010,待处理
EXC0127,物料,M0070,华东工厂,TRANSFER_OPPORTUNITY,High,65,华东工厂缺口=300，华南工厂可调拨=28038,跨工厂库存分布不均,从华南工厂向华东工厂调拨300件，并冻结对应新增采购,主计划/物流,P003;P012,待处理
EXC0128,物料,M0072,华东工厂,TRANSFER_OPPORTUNITY,High,65,华东工厂缺口=10149，华南工厂可调拨=911,跨工厂库存分布不均,从华南工厂向华东工厂调拨911件，并冻结对应新增采购,主计划/物流,P005;P010,待处理
EXC0003,产品,P005,华东工厂,DEMAND_SURGE,High,60.5,净变化=2400，变化率=35.1%,客户需求或计划版本变化,展开BOM并执行增量齐套检查,主计划,P005,待处理
EXC0078,物料,M0040,华东工厂,COMMON_PART_COMPETITION,High,60,共用于2个机型，8周缺口=16806,多个机型竞争同一共用料供给,按生命周期与客户优先级分配ATP；同步评估增量采购,主计划/MC,P001;P004,待处理
EXC0080,物料,M0040,华南工厂,COMMON_PART_COMPETITION,High,60,共用于2个机型，8周缺口=23080,多个机型竞争同一共用料供给,按生命周期与客户优先级分配ATP；同步评估增量采购,主计划/MC,P001;P004,待处理
EXC0084,物料,M0043,华东工厂,COMMON_PART_COMPETITION,High,60,共用于2个机型，8周缺口=2316,多个机型竞争同一共用料供给,按生命周期与客户优先级分配ATP；同步评估增量采购,主计划/MC,P001;P002,待处理
EXC0089,物料,M0048,华南工厂,COMMON_PART_COMPETITION,High,60,共用于2个机型，8周缺口=2146,多个机型竞争同一共用料供给,按生命周期与客户优先级分配ATP；同步评估增量采购,主计划/MC,P002;P006,待处理
EXC0099,物料,M0058,华南工厂,COMMON_PART_COMPETITION,High,60,共用于2个机型，8周缺口=6905,多个机型竞争同一共用料供给,按生命周期与客户优先级分配ATP；同步评估增量采购,主计划/MC,P009;P010,待处理
EXC0102,物料,M0063,华南工厂,COMMON_PART_COMPETITION,High,60,共用于2个机型，8周缺口=20336,多个机型竞争同一共用料供给,按生命周期与客户优先级分配ATP；同步评估增量采购,主计划/MC,P004;P010,待处理
EXC0108,物料,M0070,华东工厂,COMMON_PART_COMPETITION,High,60,共用于2个机型，8周缺口=300,多个机型竞争同一共用料供给,按生命周期与客户优先级分配ATP；同步评估增量采购,主计划/MC,P003;P012,待处理
EXC0111,物料,M0072,华东工厂,COMMON_PART_COMPETITION,High,60,共用于2个机型，8周缺口=10149,多个机型竞争同一共用料供给,按生命周期与客户优先级分配ATP；同步评估增量采购,主计划/MC,P005;P010,待处理
EXC0005,产品,P007,华东工厂,DEMAND_SURGE,High,56.2,净变化=2000，变化率=20.6%,客户需求或计划版本变化,展开BOM并执行增量齐套检查,主计划,P007,待处理
EXC0017,物料,M0004,华东工厂,PO_LATE,High,55,需求周=W7，PO ETA=W9，在途=47894,供应商确认交期晚于物料需求日期,采购确认提前交付/拆单；计划评估替代料或调整排产,采购,P002;P004;P005;P006;P008;P011,待处理
EXC0023,物料,M0008,华东工厂,PR_NOT_CONVERTED,High,55,缺口=2297，PR数量=2500，LT=21天,净需求已形成但PR尚未转PO,采购立即确认供应商、价格及交期并完成PR转PO,采购,P003;P006;P007;P008;P009;P012,待处理
EXC0031,物料,M0014,华东工厂,PR_NOT_CONVERTED,High,55,缺口=5581，PR数量=6000，LT=3天,净需求已形成但PR尚未转PO,采购立即确认供应商、价格及交期并完成PR转PO,采购,P001;P004;P007;P010,待处理
EXC0041,物料,M0019,华南工厂,PR_NOT_CONVERTED,High,55,缺口=14861，PR数量=15000，LT=21天,净需求已形成但PR尚未转PO,采购立即确认供应商、价格及交期并完成PR转PO,采购,P001;P002;P003;P007;P012,待处理
EXC0044,物料,M0020,华东工厂,PR_NOT_CONVERTED,High,55,缺口=2480，PR数量=2480，LT=3天,净需求已形成但PR尚未转PO,采购立即确认供应商、价格及交期并完成PR转PO,采购,P001;P002;P003;P012,待处理
EXC0052,物料,M0025,华南工厂,PO_LATE,High,55,需求周=W7，PO ETA=W9，在途=4156,供应商确认交期晚于物料需求日期,采购确认提前交付/拆单；计划评估替代料或调整排产,采购,P006,待处理
EXC0063,物料,M0030,华东工厂,PR_NOT_CONVERTED,High,55,缺口=19859，PR数量=20000，LT=7天,净需求已形成但PR尚未转PO,采购立即确认供应商、价格及交期并完成PR转PO,采购,P001;P002;P003;P007,待处理
EXC0065,物料,M0030,华南工厂,PO_LATE,High,55,需求周=W7，PO ETA=W9，在途=8025,供应商确认交期晚于物料需求日期,采购确认提前交付/拆单；计划评估替代料或调整排产,采购,P001;P002;P003;P007,待处理
